Committee Name,Chair,Vice Chair,Members,TLO URL,Appointment Date,Clerk,Phone,Room
Agriculture & Livestock (C020),King Tracy O.,González Mary,"Anderson Charles ""Doc""; Burrows; Cyrier; Rinaldi; Stucky",http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C020,  1/10/2017,  Sam Bacarisse,  (512) 463-0762,  EXT E2.114
Appropriations (C030),Zerwas,Longoria,Ashby; Bonnen Greg; Capriglione; Cosper; Davis Sarah; Dean; Dukes; Giddings; Gonzales Larry; González Mary; Howard; Koop; Miller Rick; Muñoz Jr.; Perez; Phelan; Raney; Roberts; Rodriguez Justin; Rose; Sheffield; Simmons; VanDeaver; Walle; Wu,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C030,  1/10/2017,  Nelda Hunter,  (512) 463-1091,  EXT E1.032
Business & Industry (C040),Oliveira,Shine,Collier; Romero Jr.; Stickland; Villalba; Workman,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C040,  1/10/2017,  Angelina Lopez,  (512) 463-0766,  EXT E2.128
Calendars (C050),Hunter,Howard,Alonzo; Ashby; Cook; Davis Sarah; Geren; Giddings; Kacal; King Ken; Koop; Nevárez; Paddie; Phelan; Rose,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C050,  1/10/2017,  Paige Higerd,  (512) 463-0758,  EXT E2.148
Corrections (C200),White,Allen,Davis Sarah; Romero Jr.; Sanford; Schaefer; Tinderholt,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C200,  1/10/2017,,  (512) 463-0796,  EXT E2.110
County Affairs (C210),Coleman,Springer,Biedermann; Hunter; Neave; Roberts; Stickland; Thierry; Uresti Tomas,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C210,  1/10/2017,  Kelsey Bernstein,  (512) 463-0760,  EXT E2.130
Criminal Jurisprudence (C220),Moody,Hunter,Canales; Gervin-Hawkins; Hefner; Lang; Wilson;,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C220,  1/10/2017,,  (512) 463-0768,  EXT E2.112
Culture; Recreation & Tourism (C430),Frullo,Faircloth,"Bonnen Dennis; Fallon; Gervin-Hawkins; Krause; Martinez ""Mando""",http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C430,  1/10/2017,  Jesse Sifuentez,  (512) 463-1974,  EXT E2.134
Defense & Veterans' Affairs (C305),Gutierrez,Blanco,Arévalo; Cain; Flynn; Lambert; Wilson,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C305,  1/10/2017,,  (512) 463-1393,  EXT E2.160
Economic & Small Business Development (C235),Button,Vo,Bailes; Deshotel; Hinojosa Gina; Leach; Metcalf; Ortega; Villalba,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C235,  1/10/2017,  Victoria Smith,  (512) 463-0069,  EXT E2.118
