District,House URL,TLO URL,House Members,First Name,Party
131,http://www.house.state.tx.us/members/member-page/?district=131,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2100,Allen, Alma,D
104,http://www.house.state.tx.us/members/member-page/?district=104,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2125,Alonzo, Roberto,D
145,http://www.house.state.tx.us/members/member-page/?district=145,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2135,Alvarado, Carol,D
103,http://www.house.state.tx.us/members/member-page/?district=103,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2150,Anchia, Rafael,D
56,http://www.house.state.tx.us/members/member-page/?district=56,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2155,"Anderson Charles ""Doc"""," Charles ""Doc""",R
105,http://www.house.state.tx.us/members/member-page/?district=105,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2215,Anderson Rodney, Rodney,R
116,http://www.house.state.tx.us/members/member-page/?district=116,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3555,Arévalo, Diana ,"F,D"
57,http://www.house.state.tx.us/members/member-page/?district=57,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2330,Ashby, Trenton,R
18,http://www.house.state.tx.us/members/member-page/?district=18,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3200,Bailes, Ernest ,"F,R"
3,http://www.house.state.tx.us/members/member-page/?district=3,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2335,Bell, Cecil,R
123,http://www.house.state.tx.us/members/member-page/?district=123,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3110,Bernal, Diego,D
73,http://www.house.state.tx.us/members/member-page/?district=73,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3575,Biedermann, Kyle,R
