Number of Bills: 5843
1 	HB 	Zerwas 	General Appropriations Bill. 	03/30/2017 	H 	Meeting cancelled 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB1
2 	HB 	Zerwas 	Relating to making supplemental appropriations and giving direction and adjustment authority regarding appropriations. 	04/07/2017 	H 	Reported engrossed: Apr  7 2017 10:24AM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB2
4 	HB 	Burkett, Raymond, Frank, Klick, Davis Sarah 	Relating to monetary assistance provided by the Department of Family and Protective Services to certain relative or designated caregivers; creating a criminal offense; creating a civil penalty. 	03/28/2017 	S 	Referred to Health &amp; Human Services 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB4
5 	HB 	Frank, Raymond, Burkett, Keough, Minjarez 	Relating to the powers and duties of the Department of Family and Protective Services and the transfer of certain powers and duties from the Health and Human Services Commission. 	03/28/2017 	S 	Referred to Health &amp; Human Services 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB5
6 	HB 	Frank, Raymond, Klick, Dale 	Relating to the statewide implementation of community-based foster care by the Department of Family and Protective Services. 	04/04/2017 	H 	Reported favorably as substituted 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB6
7 	HB 	Wu 	Relating to child protective services suits by the Department of Family and Protective Services. 	03/20/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB7
8 	HB 	Capriglione, Elkins, Parker, Dale, Dean 	Relating to cybersecurity for state agency information resources. 	04/05/2017 	H 	Reported favorably as substituted 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB8
9 	HB 	Capriglione, Elkins, Blanco 	Relating to cybercrime; creating criminal offenses. 	04/04/2017 	H 	Committee report sent to Calendars 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB9
10 	HB 	Price, Bonnen Greg, Rose, Muñoz Jr., Coleman 	Relating to access to and benefits for mental health conditions and substance use disorders. 	04/06/2017 	S 	Received from the House 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB10
11 	HB 	Price 	Relating to consideration of the mental health of public school students in school planning, educator training requirements, curriculum requirements, educational programs, state and regional programs and services, and health care services for students. 	04/04/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB11
12 	HB 	Price, Murr, Moody, Coleman, White 	Relating to individuals who are or may be persons with a mental illness or an intellectual disability and who are or have been involved with the court system and to the eligibility for medical assistance of certain mentally ill inmates. 	04/04/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB12
13 	HB 	Price 	Relating to the creation of a matching grant program to support community mental health programs for individuals experiencing mental illness. 	04/03/2017 	H 	Committee report sent to Calendars 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB13
14 	HB 	Murr, Davis Sarah, Springer, Oliverson 	Relating to the carrying of handguns by license holders on the property of state hospitals; providing a civil penalty. 	03/20/2017 	H 	Committee report sent to Calendars 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB14
15 	HB 	Bonnen Dennis 	Relating to ad valorem taxation. 	03/06/2017 	H 	Referred to Ways &amp; Means: Mar  6 2017  3:34PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB15
16 	HB 	Lozano 	Relating to sexual assault, family violence, and stalking at public and private postsecondary educational institutions. 	03/22/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB16
17 	HB 	Lozano 	Relating to the establishment of the Texas Higher Education Innovation Accelerator for public institutions of higher education. 	04/12/2017 	H 	Scheduled for public hearing on . . . 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB17
18 	HB 	Capriglione 	Relating to contract procurement, management, auditing, oversight, and evaluation of state agencies. 	04/04/2017 	H 	Left pending in subcommittee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB18
20 	HB 	Capriglione, Bonnen Dennis, Howard 	Relating to the review, oversight, and reporting of certain state agency contracts. 	04/04/2017 	H 	Left pending in subcommittee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB20
21 	HB 	Huberty, Zerwas, Turner, King Ken, Dutton 	Relating to the public school finance system. 	04/07/2017 	H 	Comte report filed with Committee Coordinator 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB21
22 	HB 	Huberty, Bonnen Dennis, Meyer 	Relating to public school accountability. 	04/04/2017 	H 	Reported favorably as substituted 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB22
23 	HB 	Huberty 	Relating to a grant program to fund innovative programs for public school students with autism. 	04/04/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB23
25 	HB 	Simmons, Larson, Laubenberg, Davis Sarah 	Relating to the elimination of straight-party voting. 	03/24/2017 	H 	Committee report sent to Calendars 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB25
26 	HB 	Simmons 	Relating to the establishment of the Texas Board of Behavior Analyst Examiners and the requirement to obtain a license to practice as a behavior analyst or assistant behavior analyst; imposing fees; providing an administrative penalty; providing a civil penalty; creating a criminal offense. 	02/16/2017 	H 	Referred to Public Health: Feb 16 2017  4:31PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB26
27 	HB 	Springer 	Relating to the consideration of the use of property or a comparable property when appraising property for ad valorem tax purposes. 	03/15/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB27
28 	HB 	Bonnen Dennis 	Relating to the use of certain surplus state revenue to phase out the franchise tax and to the expiration of that tax. 	03/29/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB28
29 	HB 	Thompson Senfronia, Huberty, Collier, Cook, Frullo 	Relating to prostitution and the trafficking of persons, civil racketeering related to trafficking, the prosecution of and punishment for certain sexual offenses and offenses involving or related to trafficking, reimbursement of certain costs for criminal victims who are children, and the release and reporting of certain information relating to a child; increasing a criminal penalty; creating a criminal offense. 	04/07/2017 	H 	Committee report sent to Calendars 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB29
31 	HB 	Larson 	Relating to the regulation of groundwater. 	04/05/2017 	H 	Reported favorably as substituted 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB31
34 	HB 	Smithee 	Relating to measures to prevent wrongful convictions. 	04/03/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB34
35 	HB 	Cook, Shine 	Relating to the disposition of embryonic and fetal tissue remains; imposing a civil penalty. 	03/08/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB35
39 	HB 	Wu 	Relating to the child protective service functions of the Department of family and Protective Services. 	03/20/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB39
40 	HB 	Simmons 	Relating to the deposit of money received from the federal government and the authority of the comptroller concerning related funds and accounts. 	03/13/2017 	H 	Referred to Appropriations: Mar 13 2017  3:28PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB40
41 	HB 	White, Faircloth 	Relating to the sale of fireworks on and before the Juneteenth holiday. 	04/10/2017 	H 	Scheduled for public hearing on . . . 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB41
42 	HB 	Romero Jr. 	Relating to a franchise tax credit for certain taxable entities offering postsecondary tuition assistance. 	03/08/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB42
43 	HB 	Flynn, Coleman, Murphy, Huberty 	Relating to the public retirement systems of certain municipalities. 	04/05/2017 	H 	Reported favorably as substituted 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB43
