Senate Committees,Chair,Vice Chair,Members,TLO URL,Appointment Date,Clerk,Phone,Room
Administration,Kolkhorst,Burton,Huffines; Hughes; Nichols; West; Zaffirini,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C500,1/10/17,Vanessa Cortez,(512) 463-0350,EXT E1.714 
Agriculture; Water & Rural Affairs,Perry,Rodríguez,Creighton; Hall; Hinojosa; Kolkhorst; Miles,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C505,1/10/17,Lauren Murray,(512) 463-0340,SHB 335 
Business & Commerce,Hancock,Creighton,Campbell; Estes; Nichols; Schwertner; Taylor Larry; Whitmire; Zaffirini,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C510,1/10/17,Tatum Reagan,(512) 463-0365,SHB 370 
Committee of the Whole Senate,,,Bettencourt; Birdwell; Buckingham; Burton; Campbell; Creighton; Estes; Garcia; Hall; Hancock; Hinojosa; Huffines; Huffman; Hughes; Kolkhorst; Lucio; Menéndez; Miles; Nelson; Nichols; Perry; Rodríguez; Schwertner; Seliger; Taylor Larry; Taylor Van; Uresti; Watson; West; Whitmire; Zaffirini,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C600,1/10/17,Patsy Spaw,(512) 463-0100,CAP 2E.22 
Criminal Justice,Whitmire,Huffman,Birdwell; Burton; Creighton; Garcia; Hughes; Menéndez; Perry,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C590,1/10/17,Terra Tucker,(512) 463-0345,SHB 470 
Education,Taylor Larry,Lucio,Bettencourt; Campbell; Hall; Huffines; Hughes; Seliger; Taylor Van; Uresti; West,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C530,1/10/17,Nicole Sunstrum,(512) 463-0355,SHB 440 
Finance,Nelson,Hinojosa,Bettencourt; Birdwell; Hancock; Huffman; Kolkhorst; Nichols; Schwertner; Seliger; Taylor Larry; Uresti; Watson; West; Whitmire,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C540,1/10/17,Stephanie Hoover,(512) 463-0370,EXT E1.038 
Health & Human Services,Schwertner,Uresti,Buckingham; Burton; Kolkhorst; Miles; Perry; Taylor Van; Watson,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C610,1/10/17,Luisa Venegoni,(512) 463-0360,SHB 420 
Higher Education,Seliger,West,Bettencourt; Buckingham; Menéndez; Taylor Larry; Watson,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C560,1/10/17,Daniel Warner,(512) 463-4788,SHB 320 
Intergovernmental Relations,Lucio,Bettencourt,Campbell; Garcia; Huffines; Menéndez; Taylor Van,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C520,1/10/17,Dilip Kanuga,(512) 463-2527,SHB 475 
Natural Resources & Economic Development,Estes,Zaffirini,Burton; Garcia; Hancock; Hinojosa; Huffines; Miles; Rodríguez; Seliger; Taylor Van,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C580,1/10/17,Paige McGhee,(512) 463-0390,SHB 325 
Nominations,Birdwell,Watson,Buckingham; Estes; Menéndez; Miles; Taylor Van,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C572,1/10/17,John Ryan Isaacson,(512) 463-2084,EXT E1.716 
State Affairs,Huffman,Hughes,Birdwell; Creighton; Estes; Lucio; Nelson; Schwertner; Zaffirini,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C570,1/10/17,Addison Reagan,(512) 463-0380,SHB 380 
Transportation,Nichols,Hall,Creighton; Garcia; Hancock; Hinojosa; Kolkhorst; Perry; Rodríguez,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C640,1/10/17,Amy Jeter,(512) 463-0067,SHB 450 
Veteran Affairs & Border Security,Campbell,Huffines,Buckingham; Hall; Lucio; Rodríguez; Uresti,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C650,1/10/17,Carrie Smith,(512) 463-2211,SHB 345 
