District,Senate URL,TLO URL,Senate Members,First Name,Party
7,http://www.senate.texas.gov/member.php?d=7,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1055,Bettencourt, Paul,R
22,http://www.senate.texas.gov/member.php?d=22,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1080,Birdwell, Brian,R
24,http://www.senate.texas.gov/member.php?d=24,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1125,Buckingham, Dawn,"F,R"
10,http://www.senate.texas.gov/member.php?d=10,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1090,Burton, Konni,R
25,http://www.senate.texas.gov/member.php?d=25,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1010,Campbell, Donna,R
4,http://www.senate.texas.gov/member.php?d=4,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1040,Creighton, Brandon,R
30,http://www.senate.texas.gov/member.php?d=30,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1180,Estes, Craig,R
6,http://www.senate.texas.gov/member.php?d=6,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1035,Garcia, Sylvia,D
2,http://www.senate.texas.gov/member.php?d=2,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1050,Hall, Bob,R
9,http://www.senate.texas.gov/member.php?d=9,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1015,Hancock, Kelly,R
20,http://www.senate.texas.gov/member.php?d=20,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1250,Hinojosa," Juan ""Chuy""",D
16,http://www.senate.texas.gov/member.php?d=16,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1095,Huffines, Don,R
17,http://www.senate.texas.gov/member.php?d=17,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1260,Huffman, Joan,R
1,http://www.senate.texas.gov/member.php?d=1,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1135,Hughes, Bryan,R
18,http://www.senate.texas.gov/member.php?d=18,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1105,Kolkhorst, Lois,R
27,http://www.senate.texas.gov/member.php?d=27,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1300,Lucio, Eddie,D
26,http://www.senate.texas.gov/member.php?d=26,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1110,Menendez, Jose,D
13,http://www.senate.texas.gov/member.php?d=13,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1115,Miles, Borris,"F,D"
12,http://www.senate.texas.gov/member.php?d=12,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1450,Nelson, Jane,R
3,http://www.senate.texas.gov/member.php?d=3,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1400,Nichols, Robert,R
28,http://www.senate.texas.gov/member.php?d=28,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1045,Perry, Charles,R
29,http://www.senate.texas.gov/member.php?d=29,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1005,Rodriguez, Jose,D
5,http://www.senate.texas.gov/member.php?d=5,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1025,Schwertner, Charles,R
31,http://www.senate.texas.gov/member.php?d=31,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1460,Seliger, Kel,R
11,http://www.senate.texas.gov/member.php?d=11,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1030,Taylor, Larry,R
8,http://www.senate.texas.gov/member.php?d=8,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1085,Taylor, Van,R
19,http://www.senate.texas.gov/member.php?d=19,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1605,Uresti, Carlos,D
14,http://www.senate.texas.gov/member.php?d=14,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1610,Watson, Kirk,D
23,http://www.senate.texas.gov/member.php?d=23,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1625,West, Royce,D
15,http://www.senate.texas.gov/member.php?d=15,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1650,Whitmire, John,D
21,http://www.senate.texas.gov/member.php?d=21,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=S&Code=A1700,Zaffirini, Judith,D
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
