Number of Bills: 2804
1 	SB 	Nelson 	General Appropriations Bill. 	03/22/2017 	S 	Scheduled for public hearing on  . . . 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1
2 	SB 	Bettencourt, Creighton, Hancock, Taylor Van 	Relating to ad valorem taxation. 	03/20/2017 	S 	Placed on intent calendar 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB2
3 	SB 	Taylor Larry 	Relating to the establishment of an education savings account program and a tax credit scholarship and educational expense assistance program. 	03/21/2017 	S 	Scheduled for public hearing on  . . . 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB3
4 	SB 	Perry 	Relating to the enforcement by certain state and local governmental entities and campus police departments of state and federal laws governing immigration and to related duties of certain law enforcement and judicial entities in the criminal justice system; providing civil and criminal penalties. 	03/15/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB4
5 	SB 	Huffman, Bettencourt, Birdwell, Buckingham, Burton, et al. 	Relating to requiring a voter to present proof of identification; providing a criminal penalty. 	03/14/2017 	S 	Committee report printed and distributed: Mar 14 2017  3:58PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB5
6 	SB 	Kolkhorst 	Relating to regulations and policies for entering or using a bathroom or changing facility; authorizing a civil penalty. 	03/16/2017 	H 	Received from the Senate 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB6
7 	SB 	Bettencourt 	Relating to improper relationships between educators and students; creating a criminal offense and expanding the applicability of an existing offense. 	03/09/2017 	H 	Received from the Senate 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB7
8 	SB 	Schwertner, Campbell, Kolkhorst, Nelson, Perry 	Relating to certain prohibited abortions and the treatment and disposition of a human fetus and human fetal tissue; creating a civil cause of action; creating offenses. 	03/16/2017 	H 	Received from the Senate 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB8
9 	SB 	Hancock 	Relating to the constitutional limit on the rate of growth of appropriations. 	03/27/2017 	S 	Scheduled for public hearing on  . . . 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB9
10 	SB 	Hancock, Birdwell, Creighton, Huffman, Lucio, et al. 	Relating to insurance claims and certain prohibited acts and practices in the business of insurance. 	03/09/2017 	S 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB10
11 	SB 	Schwertner, Nelson, Uresti 	Relating to the administration of services provided by the Department of Family and Protective Services, including foster care, child protective, relative and kinship caregiver support, and prevention and early intervention services. 	03/02/2017 	H 	Received from the Senate 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB11
12 	SB 	West 	Relating to the creation of a grant program to assist law enforcement agencies with the purchase of bulletproof vests and body armor. 	03/14/2017 	H 	Received from the Senate 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB12
13 	SB 	Huffman, Bettencourt, Birdwell, Burton, Campbell, et al. 	Relating to payroll deductions for state and local government employee organizations. 	02/21/2017 	S 	Committee report printed and distributed: Feb 21 2017  2:41PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB13
14 	SB 	Taylor Van, Bettencourt, Birdwell, Buckingham, Creighton, et al. 	Relating to the ethics of public officers and related requirements; creating criminal offenses. 	02/08/2017 	H 	Received from the Senate 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB14
15 	SB 	Huffines, Hall, Hancock, Taylor Van, West 	Relating to an exemption from ad valorem taxation of the residence homestead of the surviving spouse of a first responder who is killed or fatally injured in the line of duty. 	03/14/2017 	H 	Received from the Senate 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB15
16 	SB 	Nichols, Huffman 	Relating to the removal of a fee for the issuance of an original, duplicate, modified, or renewed license to carry a handgun. 	03/20/2017 	S 	Testimony taken in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB16
17 	SB 	Nelson 	Relating to the decrease of the rates of the franchise tax under certain circumstances and the expiration of that tax. 	03/20/2017 	S 	Placed on intent calendar 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB17
18 	SB 	Seliger 	Relating to eliminating provisions requiring public institutions of higher education to set aside portions of designated tuition for student financial assistance. 	03/14/2017 	S 	Not again placed on intent calendar 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB18
19 	SB 	Seliger 	Relating to temporary limitations on the amount of tuition and fees charged by certain public institutions of higher education. 	03/22/2017 	S 	Scheduled for public hearing on  . . . 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB19
20 	SB 	Taylor Larry 	Relating to health plan and health benefit plan coverage for abortions. 	03/21/2017 	S 	Placed on intent calendar 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB20
21 	SB 	Birdwell, Bettencourt, Campbell, Creighton, Hancock, et al. 	Relating to the qualifications, duties, and limitations of Texas delegates to a convention called under Article V of the United States Constitution; providing a criminal penalty. 	03/01/2017 	H 	Received from the Senate 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB21
22 	SB 	Taylor Larry 	Relating to the establishment of a Pathways in Technology Early College High School (P-TECH) program and to the repeal of the tech-prep program. 	03/20/2017 	S 	Committee report printed and distributed: Mar 20 2017  5:05PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB22
23 	SB 	Schwertner, Bettencourt, Birdwell, Burton, Campbell, et al. 	Relating to requiring state contractors to participate in the federal electronic verification of employment authorization program, or E-verify. 	03/20/2017 	S 	Committee report printed and distributed: Mar 20 2017  2:37PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB23
24 	SB 	Huffman, Hancock 	Relating to a privilege from disclosure to governmental units for certain evidence concerning sermons delivered by a religious leader. 	03/09/2017 	H 	Received from the Senate 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB24
25 	SB 	Creighton, Bettencourt, Birdwell, Burton, Campbell, et al. 	Relating to eliminating the wrongful birth cause of action. 	03/20/2017 	S 	Read 2nd time &amp; passed to engrossment 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB25
26 	SB 	Estes 	Relating to the Texas emissions reduction plan and other related programs and measures to reduce emissions. 	03/15/2017 	H 	Received from the Senate 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB26
27 	SB 	Campbell 	Relating to the mental health program for veterans. 	03/20/2017 	S 	Considered in public hearing 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB27
28 	SB 	Creighton 	Relating to the financing of ports in the state. 	03/22/2017 	S 	Scheduled for public hearing on  . . . 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB28
29 	SB 	Creighton, Campbell, Hall, Huffines 	Relating to state contracts with and investments in companies that boycott Israel. 	03/20/2017 	S 	Placed on intent calendar 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB29
30 	SB 	West, Whitmire 	Relating to inclusion of instruction regarding interaction with peace officers in the required curriculum for certain public school students and in driver education courses and to civilian interaction training for peace officers. 	03/21/2017 	S 	Scheduled for public hearing on  . . . 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB30
31 	SB 	Zaffirini 	Relating to the use of a wireless communication device while operating a motor vehicle; creating a criminal offense; modifying existing criminal penalties. 	03/15/2017 	S 	Placed on intent calendar 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB31
32 	SB 	Zaffirini 	Relating to the establishment and operation of the Texas B-On-time student loan program. 	01/24/2017 	S 	Referred to Higher Education 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB32
33 	SB 	Zaffirini 	Relating to eligibility for a TEXAS Grant and to administration of the TEXAS grant program. 	01/24/2017 	S 	Referred to Higher Education 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB33
34 	SB 	Zaffirini 	Relating to outcomes-based funding for general academic teaching institutions. 	01/24/2017 	S 	Referred to Higher Education 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB34
35 	SB 	Zaffirini 	Relating to providing free full-day prekindergarten for certain children. 	01/24/2017 	S 	Referred to Education 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB35
36 	SB 	Zaffirini 	Relating to the regulation of certain guardianship programs. 	03/09/2017 	H 	Received from the Senate 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB36
37 	SB 	Zaffirini 	Relating to the requirement to obtain certification for attorneys representing persons in guardianship proceedings. 	03/20/2017 	S 	Reported engrossed 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB37
38 	SB 	Zaffirini 	Relating to certain procedural matters in courts exercising probate jurisdiction. 	03/20/2017 	S 	Reported engrossed 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB38
39 	SB 	Zaffirini 	Relating to guardianships for persons who have physical disabilities or who are incapacitated. 	03/23/2017 	S 	Scheduled for public hearing on  . . . 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB39
40 	SB 	Zaffirini 	Relating to the bond required and the bond insurance obtained for certain judges. 	03/15/2017 	H 	Received from the Senate 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB40
41 	SB 	Zaffirini 	Relating to the demand for an accounting from an attorney in fact or agent of a principal by certain persons. 	03/09/2017 	H 	Received from the Senate 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB41
