SB 1 	SB 	Nelson 	General Appropriations Bill. 	['State Finances--Appropriations (I0746)'] 	03/22/2017 	Scheduled for public hearing on  . . . 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1 	['none']
SB 2 	SB 	Bettencourt, Creighton, Hancock, Taylor Van 	Relating to ad valorem taxation. 	['Elections--Administration (I0277),Elections--General (I0310),Property Interests--Personal Property (I0600),Taxation--General (I0815),Taxation--Property-Appeal of Tax Decisions (I0796),Taxation--Property-Appraisals & Appraisal Districts (I0792),Taxation--Property-Assessment & Collection (I0798),Taxation--Property-Exemptions (I0793),Taxation--Property-State Administration (I0791),Taxation--Property-Tax Rate (I0794),TEXAS PROPERTY TAX REFORM AND RELIEF ACT OF 2017 (P0670),COMPTROLLER OF PUBLIC ACCOUNTS (V2608),PROPERTY TAX ADMINISTRATION ADVISORY BOARD (V1103)'] 	03/21/2017 	Reported engrossed 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB2 	['none']
SB 3 	SB 	Taylor Larry 	Relating to the establishment of an education savings account program and a tax credit scholarship and educational expense assistance program. 	['Education--Primary & Secondary--Finance (I0250),Education--Primary & Secondary--General (I0230),Family--Parent & Child (I0355),Insurance--General (I0445),Taxation--General (I0815),SCHOLARSHIPS (S2123),COMPTROLLER OF PUBLIC ACCOUNTS (V2608)'] 	03/21/2017 	Scheduled for public hearing on  . . . 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB3 	['none']
SB 4 	SB 	Perry 	Relating to the enforcement by certain state and local governmental entities and campus police departments of state and federal laws governing immigration and to related duties of certain law enforcement and judicial entities in the criminal justice system; providing civil and criminal penalties. 	['Aliens (I0032),City Government--General (I0060),County Government--General (I0096),Law Enforcement (I0510),Political Subdivisions (I0588),IMMIGRATION LAW (S0674),ATTORNEY GENERAL (V2811),COMPTROLLER OF PUBLIC ACCOUNTS (V2608)'] 	03/15/2017 	Left pending in committee 	House 	State Affairs 	State Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB4 	['HB 611', 'HB 754', 'HB 889', 'HB 1308', 'filler']
SB 5 	SB 	Huffman, Bettencourt, Birdwell, Buckingham, Burton, Campbell, Creighton, Estes, Hall, Hancock, Huffines, Hughes, Kolkhorst, Nelson, Nichols, Perry, Schwertner, Seliger, Taylor Larry, Taylor Van 	Relating to requiring a voter to present proof of identification; providing a criminal penalty. 	['Elections--Registration & Suffrage (I0265),IDENTIFICATION CARDS (S0074),PUBLIC SAFETY DEPARTMENT OF (V0251),SECRETARY OF STATE (V0042)'] 	03/22/2017 	Placed on intent calendar 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB5 	['HB 2481', 'filler']
SB 6 	SB 	Kolkhorst 	Relating to regulations and policies for entering or using a bathroom or changing facility; authorizing a civil penalty. 	['Crimes--Miscellaneous (I0200),Education--Higher--General (I0231),Education--Primary & Secondary--Charter Schools (I0245),Education--School Districts (I0220),Political Subdivisions (I0588),Safety (I0740),State Agencies Boards & Commissions (I0749),Women (I0925),ATTORNEY GENERAL (V2811)'] 	03/16/2017 	Received from the Senate 	House 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB6 	['none']
SB 7 	SB 	Bettencourt 	Relating to improper relationships between educators and students; creating a criminal offense and expanding the applicability of an existing offense. 	['Education--Primary & Secondary--Charter Schools (I0245),Education--Primary & Secondary--Other School Personnel (I0246),Education--Primary & Secondary--Private (I0239),Education--Primary & Secondary--Teachers (I0242),Education--School Districts (I0220),Minors--Crimes Against (I0532),CONTINUING EDUCATION (S0234),EMAIL & ELECTRONIC COMMUNICATIONS (S0321),SEXUAL MISCONDUCT (S0160)'] 	03/21/2017 	Referred to Public Education: Mar 21 2017  4:15PM  	House 	Education 	Public Education 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB7 	['HB 3769', 'filler']
SB 8 	SB 	Schwertner, Campbell, Kolkhorst, Nelson, Perry 	Relating to certain prohibited abortions and the treatment and disposition of a human fetus and human fetal tissue; creating a civil cause of action; creating offenses. 	['Abortion (I0005),Civil Remedies & Liabilities (I0065),Crimes--Miscellaneous (I0200),Health Care Providers (I0387),INFORMED CONSENT (S0057),ORGAN & TISSUE DONATIONS (S0305),PHYSICIANS (S1282),HEALTH & HUMAN SERVICES COMMISSION (V0177),MEDICAL BOARD TEXAS (V0644),STATE HEALTH SERVICES DEPARTMENT OF (V0463)'] 	03/16/2017 	Received from the Senate 	House 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB8 	['HB 200', 'filler']
SB 9 	SB 	Hancock 	Relating to the constitutional limit on the rate of growth of appropriations. 	['State Finances--Appropriations (I0746),State Finances--Budget (I0747),LEGISLATIVE BUDGET BOARD (V0161)'] 	03/27/2017 	Scheduled for public hearing on  . . . 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB9 	['HB 936', 'HB 1025', 'filler']
SB 10 	SB 	Hancock, Birdwell, Creighton, Huffman, Lucio, Taylor Larry 	Relating to insurance claims and certain prohibited acts and practices in the business of insurance. 	["Business & Commerce--Trade Practices (I0006),Courts--Civil Procedure (I0135),Insurance--Insurers & Agents (I0425),Insurance--Property & Casualty (I0442),ATTORNEY'S FEES (S0202)"] 	03/09/2017 	Left pending in committee 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB10 	['HB 1774', 'filler']
SB 11 	SB 	Schwertner, Nelson, Uresti 	Relating to the administration of services provided by the Department of Family and Protective Services including foster care child protective relative and kinship caregiver support and prevention and early intervention services. 	['Education--Higher--General (I0231),Family--Child Protection (I0351),Family--Parent & Child (I0355),Minors--Health & Safety (I0533),CHILD ABUSE (S4256),FOSTER CARE (S0064),FAMILY & PROTECTIVE SERVICES DEPARTMENT OF (V0461),HEALTH & HUMAN SERVICES COMMISSION (V0177)'] 	03/02/2017 	Received from the Senate 	House 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB11 	['HB 914', 'filler']
